"run","time","lastAction","duration","fractionTxRate","fractionRxGoodput","txPackets","rxPackets","txBytes","rxBytes","lostPackets","oooPackets","lossRate","fractionLossRate","retransmissionRate","nackSuccessRate","rtt","interarrivalJitter","fractionAvInterarrivalDelay","timeCurrentReceiverReport","timeCurrentTransportFeedback"
2,1.01,-0.281244,1,3.85003,3.78508,401,397,481700,476888,0,0,0,0,0,-nan,14.7747,0.317512,2.50001,1.00793,1.00793
2,2.01,0.552879,2,7.85382,7.77352,1197,1189,1458395,1448578,0,0,0,0,0,-nan,14.6711,0.221407,1.26294,2.00793,2.00793
2,3.01,0.747918,3,8.79001,8.77088,2096,2087,2555925,2544938,0,0,0,0,0,-nan,14.7025,0.175236,1.11332,3.00793,3.00793
2,4.01,0.809391,4,8.79001,8.7896,2996,2987,3654625,3643638,0,0,0,0,0,-nan,14.6164,0.0598813,1.11278,4.00793,4.00793
2,5.01,0.813061,5,8.79001,8.7896,3896,3887,4753325,4742338,0,0,0,0,0.000257268,1,14.889,0.0572619,1.11111,5.00793,5.00793
2,6.01,0.744966,6,8.79001,8.7896,4796,4787,5852025,5841038,0,0,0,0,0.000417798,1,15.0988,0.254776,1.11556,6.00793,6.00793
2,7.01,0.75206,7,8.79001,8.7896,5696,5687,6950725,6939738,0,0,0,0,0.000351679,1,15.0841,0.0900185,1.10693,7.00793,7.00793
2,8.01,0.807766,8,8.79001,8.7896,6596,6587,8049425,8038438,0,0,0,0,0.000303628,1,14.9826,0.0968389,1.11251,8.00793,8.00793
2,9.01,0.813446,9,8.79001,8.7896,7496,7487,9148125,9137138,0,0,0,0,0.00026713,1,14.9027,0.00814073,1.10778,9.00793,9.00793
2,10.01,0.809233,10,8.79001,8.7896,8396,8387,10246825,10235838,0,0,0,0,0.000238464,1,14.8365,0.0181716,1.11111,10.0079,10.0079
2,11.01,0.809136,11,8.79001,8.7896,9296,9287,11345525,11334538,0,0,0,0,0.000215355,1,14.8452,0.284021,1.11304,11.0079,11.0079
2,12.01,0.814606,12,8.79001,8.7896,10196,10187,12444225,12433238,0,0,0,0,0.000196329,1,14.8056,0.0495353,1.10918,12.0079,12.0079
2,13.01,0.808787,13,8.79001,8.7896,11096,11087,13542925,13531938,0,0,0,0,0.00243528,1,15.607,0.425131,1.11305,13.0079,13.0079
2,14.01,0.67397,14,8.79001,8.7896,11996,11987,14641625,14630638,0,0,0,0,0.00225244,1,15.4781,0.132885,1.10944,14.0079,14.0079
2,15.01,0.813202,15,8.79001,8.7896,12896,12887,15740325,15729338,0,0,0,0,0.00209513,1,15.3407,0.0616787,1.11085,15.0079,15.0079
2,16.01,0.812548,16,8.79001,8.7896,13796,13787,16839025,16828038,0,0,0,0,0.00195837,1,15.2297,0.120038,1.11111,16.0079,16.0079
2,17.01,0.813407,17,8.79001,8.7896,14696,14687,17937725,17926738,0,0,0,0,0.00183836,1,15.1644,0.093183,1.11278,17.0079,17.0079
2,18.01,0.810407,18,8.79001,8.7896,15596,15587,19036425,19025438,0,0,0,0,0.00173221,1,15.1037,0.0738416,1.10944,18.0079,18.0079
2,19.01,0.809655,19,8.79001,8.7896,16496,16487,20135125,20124138,0,0,0,0,0.00163765,1,15.0217,0.364828,1.11138,19.0079,19.0079
2,20.01,0.822203,20,8.79001,8.7896,17396,17387,21233825,21222838,0,0,0,0,0.00276068,0.888889,15.9873,0.232972,1.11444,20.0079,20.0079
2,21.01,0.671274,21,8.79001,8.7896,18296,18287,22332525,22321538,0,0,0,0,0.00262482,0.888889,15.8015,0.140877,1.10751,21.0079,21.0079
2,22.01,0.8133,22,8.79001,8.7896,19196,19187,23431225,23420238,0,0,0,0,0.00250169,0.888889,15.6539,0.122762,1.11278,22.0079,22.0079
2,23.01,0.812353,23,8.79001,8.7896,20096,20087,24529925,24518938,0,0,0,0,0.00388311,0.876404,16.2004,0.166883,1.11138,23.0079,23.0079
2,24.01,0.703097,24,8.79001,8.7896,20996,20987,25628625,25617638,0,0,0,0,0.00371659,0.876404,16.0139,0.12607,1.10944,24.0079,24.0079
2,25.01,0.810839,25,8.79001,8.748,21896,21883,26727325,26711138,4,0,0.000182757,0.00444444,0.00671754,0.84,17.9944,0.0812196,1.1158,25.0079,25.0079
2,26.01,0.678312,26,8.79001,8.7896,22796,22783,27826025,27809838,4,0,0.000175539,0,0.00645218,0.84,17.5328,0.0453884,1.11278,26.0079,26.0079
2,27.01,0.809424,27,8.79001,8.7896,23696,23683,28924725,28908538,4,0,0.000168869,0,0.00620698,0.84,17.1449,0.22622,1.11138,27.0079,27.0079
2,28.01,0.812897,28,8.79001,8.7896,24596,24583,30023425,30007238,4,0,0.000162688,0,0.00597974,0.84,16.8365,0.13588,1.11084,28.0079,28.0079
2,29.01,0.809504,29,8.79001,8.7896,25496,25483,31122125,31105938,4,0,0.000156943,0,0.00576855,0.84,16.5776,0.036749,1.10944,29.0079,29.0079
2,30.01,0.806853,30,8.79001,8.7896,26396,26383,32220825,32204638,4,0,0.00015159,0,0.00557177,0.84,16.3236,0.0873668,1.11278,30.0079,30.0079
2,31.01,0.810373,31,8.79001,8.7896,27296,27283,33319525,33303338,4,0,0.00014659,0,0.00538797,0.84,16.1391,0.122322,1.10971,31.0079,31.0079
2,32.01,0.80934,32,8.79001,8.56181,28196,28160,34418225,34373564,4,0,0.000142025,0.00566893,0.00617898,0.816901,16.7165,0.511776,1.12487,32.0079,32.0079
2,33.01,0.683248,33,8.79001,8.96539,29096,29083,35516925,35500738,4,0,0.000137518,0,0.0063611,0.844749,17.091,0.147489,1.0994,33.0079,33.0079
2,34.01,0.725917,34,8.79001,8.7896,29996,29983,36615625,36599438,4,0,0.000133391,0,0.00617016,0.844749,16.7363,0.0889969,1.11111,34.0079,34.0079
2,35.01,0.811631,35,8.79001,8.7896,30896,30883,37714325,37698138,4,0,0.000129504,0,0.00599035,0.844749,16.4491,0.1047,1.10944,35.0079,35.0079
2,36.01,0.811385,36,8.79001,8.7896,31796,31783,38813025,38796838,4,0,0.000125838,0,0.00582072,0.844749,16.2257,0.0793788,1.11111,36.0079,36.0079
2,37.01,0.809428,37,8.79001,8.7896,32696,32683,39911725,39895538,4,0,0.000122373,0,0.00566044,0.844749,16.0168,0.0114561,1.11111,37.0079,37.0079
2,38.01,0.80889,38,8.79001,8.7896,33596,33583,41010425,40994238,4,0,0.000119094,0,0.00550874,0.844749,15.8116,0.065251,1.11278,38.0079,38.0079
