"run","time","lastAction","duration","fractionTxRate","fractionRxGoodput","txPackets","rxPackets","txBytes","rxBytes","lostPackets","oooPackets","lossRate","fractionLossRate","retransmissionRate","nackSuccessRate","rtt","interarrivalJitter","fractionAvInterarrivalDelay","timeCurrentReceiverReport","timeCurrentTransportFeedback"
2,2.01491,420,2,0.4,0.4,201,200,100500,100000,0,0,0,0,0.005,1,19.2194,0.886157,10,2.00793,2.00793
2,3.01491,441,3,0.441,0.42276,301,296,155600,152845,0,0,0,0,0.00337838,1,18.6142,0.674826,10.0156,3.00793,3.00793
2,4.01491,463,4,0.441,0.458432,401,400,210700,210149,0,0,0,0,0.005,1,18.5351,0.79787,10,4.00793,4.00793
2,5.01491,486,5,0.486,0.485152,501,500,271400,270793,0,0,0,0,0.004,1,17.987,0.911288,9.985,5.00793,5.00793
2,6.01491,510,6,0.486,0.4856,601,600,332100,331493,0,0,0,0,0.00333333,1,17.5599,0.643878,10.015,6.00793,6.00793
2,7.01491,536,7,0.536,0.535496,701,700,399100,398430,0,0,0,0,0.00285714,1,17.145,0.569373,10,7.00793,7.00793
2,8.01491,562,8,0.536,0.536,801,800,466100,465430,0,0,0,0,0.0025,1,16.7557,0.635448,9.985,8.00793,8.00793
2,9.01491,590,9,0.59,0.589064,901,900,539800,539063,0,0,0,0,0.00222222,1,16.4532,0.874765,10.015,9.00793,9.00793
2,10.0149,620,10,0.59,0.5896,1001,1000,613500,612763,0,0,0,0,0.002,1,16.1692,0.462988,9.985,10.0079,10.0079
2,11.0149,651,11,0.651,0.649792,1101,1100,694800,693987,0,0,0,0,0.00181818,1,15.9545,1.17139,10.03,11.0079,11.0079
2,12.0149,684,12,0.651,0.6504,1201,1200,776100,775287,0,0,0,0,0.00166667,1,15.7104,0.480255,9.97,12.0079,12.0079
2,13.0149,718,13,0.718,0.716928,1301,1300,865800,864903,0,0,0,0,0.00153846,1,15.55,0.919187,10.03,13.0079,13.0079
2,14.0149,754,14,0.718,0.7176,1401,1400,955500,954603,0,0,0,0,0.00142857,1,15.3865,1.1008,9.985,14.0079,14.0079
2,15.0149,791,15,0.791,0.789672,1501,1500,1054300,1053312,0,0,0,0,0.00133333,1,15.281,0.806168,10,15.0079,15.0079
2,16.0149,831,16,0.791,0.7904,1601,1600,1153100,1152112,0,0,0,0,0.00125,1,15.1775,0.698526,10,16.0079,16.0079
2,17.0149,873,17,0.873,0.871976,1701,1700,1262200,1261109,0,0,0,0,0.00117647,1,15.0913,1.02013,10,17.0079,17.0079
2,18.0149,916,18,0.873,0.8728,1801,1800,1371300,1370209,0,0,0,0,0.00111111,1,15.0116,0.751317,9.985,18.0079,18.0079
2,19.0149,962,19,0.962,0.960712,1901,1900,1491500,1490298,0,0,0,0,0.00105263,1,14.9125,0.87395,10,19.0079,19.0079
2,20.0149,1010,20,0.962,0.9616,2001,2000,1611700,1610498,0,0,0,0,0.001,1,14.8552,0.790227,10,20.0079,20.0079
2,21.0149,1061,21,1.061,1.05981,2201,2199,1744300,1742974,0,0,0,0,0.000909504,1,14.7683,0.274332,5.02513,21.0079,21.0079
2,22.0149,1114,22,1.061,1.0608,2401,2399,1876900,1875574,0,0,0,0,0.000833681,1,14.7216,0.472755,5.015,22.0079,22.0079
2,23.0149,1170,23,1.17,1.16851,2601,2599,2023100,2021638,0,0,0,0,0.000769527,1,14.647,0.393005,4.9925,23.0079,23.0079
2,24.0149,1228,24,1.17,1.1696,2801,2799,2169300,2167838,0,0,0,0,0.00142908,1,15.3053,1.10066,4.9925,24.0079,24.0079
2,25.0149,1228,25,1.17,1.1696,3001,2999,2315500,2314038,0,0,0,0,0.00133378,1,15.2178,0.423052,5.0075,25.0079,25.0079
2,26.0149,1290,26,1.29,1.2884,3201,3199,2476700,2475088,0,0,0,0,0.00125039,1,15.1118,0.230225,5,26.0079,26.0079
2,27.0149,1354,27,1.29,1.2896,3401,3399,2637900,2636288,0,0,0,0,0.00117682,1,15.0409,0.369458,5,27.0079,27.0079
2,28.0149,1422,28,1.422,1.42028,3601,3599,2815600,2813823,0,0,0,0,0.00111142,1,14.994,0.619914,5,28.0079,28.0079
2,29.0149,1493,29,1.422,1.4216,3801,3799,2993300,2991523,0,0,0,0,0.00105291,1,14.9316,0.369253,4.9925,29.0079,29.0079
2,30.0149,1568,30,1.568,1.56654,4001,3999,3189300,3187340,0,0,0,0,0.00150038,1,15.5788,0.30699,5,30.0079,30.0079
2,31.0149,1646,31,1.568,1.568,4201,4199,3385300,3383340,0,0,0,0,0.00142891,1,15.4309,0.534337,5,31.0079,31.0079
2,32.0149,1728,32,1.728,1.7264,4401,4399,3601300,3599140,0,0,0,0,0.00136395,1,15.2827,0.358042,5.015,32.0079,32.0079
2,33.0149,1815,33,1.728,1.728,4601,4599,3817300,3815140,0,0,0,0,0.00130463,1,15.2062,0.491455,4.9925,33.0079,33.0079
2,34.0149,1905,34,1.905,1.90303,4801,4799,4055400,4053019,0,0,0,0,0.00125026,1,15.113,0.385834,5,34.0079,34.0079
2,35.0149,2001,35,1.905,1.9048,5001,4999,4293500,4291119,0,0,0,0,0.00120024,1,15.0308,0.389157,4.9925,35.0079,35.0079
2,36.0149,2101,36,2.101,2.09884,5301,5298,4556100,4553474,0,0,0,0,0.0011325,1,14.962,0.300119,3.3495,36.0079,36.0079
2,37.0149,2206,37,2.101,2.1008,5601,5598,4818700,4816074,0,0,0,0,0.00107181,1,14.8957,0.227273,3.32833,37.0079,37.0079
2,38.0149,2316,38,2.316,2.31385,5901,5898,5108200,5105305,0,0,0,0,0.00101729,1,14.8595,0.448255,3.33333,38.0079,38.0079
