"run","time","lastAction","duration","fractionTxRate","fractionRxGoodput","txPackets","rxPackets","txBytes","rxBytes","lostPackets","oooPackets","lossRate","fractionLossRate","retransmissionRate","nackSuccessRate","rtt","interarrivalJitter","fractionAvInterarrivalDelay","timeCurrentReceiverReport","timeCurrentTransportFeedback"
7,2.01628,400,2,0.4,0.08,201,31,100500,15500,97,0,0.757812,0.705882,0,-nan,61.6926,9.17099,37.425,2.00127,1.40127
7,3.01628,400,3,0.4,0.096,301,55,150500,27500,229,0,0.806338,0.85,0,0,65.2804,11.8929,67.0938,3.00127,3.00127
7,4.01628,400,4,0.4,0.052,401,68,200500,34000,292,0,0.811111,0.819444,0,0,75.4151,10.4209,55.3846,4.00127,3.70127
7,5.01628,400,5,0.4,0,501,68,250500,34000,292,0,0.811111,1,0,0,315.988,10.4209,1000,5.00127,3.70127
7,6.01628,400,6,0.4,0.008,601,70,300500,35000,440,0,0.862745,0.986667,0,0,295.138,9.76638,744.875,6.00127,5.20127
7,7.01628,400,7,0.4,0.048,701,82,350500,41000,565,0,0.873261,0.933333,0,0,267.587,8.17662,144.292,7.00127,7.00127
7,8.01628,400,8,0.4,0.284,801,153,400500,76500,637,0,0.806329,0.348624,0,0,238.168,3.90302,15.3732,8.00127,8.00127
7,9.01628,400,9,0.4,0.044,901,164,450500,82000,654,0,0.799511,0.421053,0,0,211.968,7.28083,24.2955,9.00127,8.30127
7,10.0163,400,10,0.4,0,1001,164,500500,82000,654,0,0.799511,1,0,0,435.472,7.28083,1000,10.0013,8.30127
7,11.0163,400,11,0.4,0.088,1101,186,550500,93000,850,0,0.820463,0.919118,0,0,395.652,9.83642,123.636,11.0013,11.0013
7,12.0163,400,12,0.4,0.008,1201,188,600500,94000,970,0,0.837651,0.970588,0,0,364.188,9.68042,331.5,12.0013,11.7013
7,13.0163,400,13,0.4,0.06,1301,203,650500,101500,1047,0,0.8376,0.836957,0,0,332.211,11.7607,62.4666,13.0013,12.6013
7,14.0163,400,14,0.4,0,1401,203,700500,101500,1047,0,0.8376,1,0,0,540.684,11.7607,1000,14.0013,12.6013
7,15.0163,400,15,0.4,0.028,1501,210,750500,105000,1239,0,0.855072,0.964824,0,0,491.519,9.28536,281.429,15.0013,14.6013
7,16.0163,400,16,0.4,0.052,1601,223,800500,111500,1331,0,0.856499,0.87619,0,0,449.759,7.54083,81.6346,16.0013,15.7013
7,17.0163,400,17,0.4,0,1701,223,850500,111500,1331,0,0.856499,1,0,0,643.539,7.54083,1000,17.0013,15.7013
7,18.0163,400,18,0.4,0,1801,223,900500,111500,1331,0,0.856499,1,0,0,813.096,7.54083,1000,18.0013,15.7013
7,19.0163,400,19,0.4,0.216,1901,277,950500,138500,1619,0,0.853903,0.843478,0,0,722.468,5.05183,62.6481,19.0013,19.0013
7,20.0163,400,20,0.4,0.244,2001,338,1000500,169000,1645,0,0.829551,0.32967,0,0,640.322,10.4654,16.1598,20.0013,20.0013
7,21.0163,400,21,0.4,0.008,2101,340,1050500,170000,1704,0,0.833659,0.962963,0,0,578.899,9.80459,264.875,21.0013,20.6013
7,22.0163,400,22,0.4,0,2201,340,1100500,170000,1704,0,0.833659,1,0,0,756.536,9.80459,1000,22.0013,20.6013
7,23.0163,400,23,0.4,0.236,2301,399,1150500,199500,1900,0,0.826446,0.768627,0,0,664.962,1.44603,42.1356,23.0013,23.0013
7,24.0163,400,24,0.4,0.024,2401,405,1200500,202500,1963,0,0.82897,0.913043,0,0,597.157,5.65417,125.917,24.0013,23.8013
7,25.0163,400,25,0.4,0,2501,405,1250500,202500,1963,0,0.82897,1,0,0,772.512,5.65417,1000,25.0013,23.8013
7,26.0163,400,26,0.4,0.008,2601,407,1300500,203500,2147,0,0.840642,0.989247,0,0,694.377,5.05738,929.25,26.0013,25.7013
7,27.0163,400,27,0.4,0.316,2701,486,1350500,243000,2213,0,0.819933,0.455172,0,0,610.207,0.77285,17.5063,27.0013,27.0013
