"run","time","lastAction","duration","fractionTxRate","fractionRxGoodput","txPackets","rxPackets","txBytes","rxBytes","lostPackets","oooPackets","lossRate","fractionLossRate","retransmissionRate","nackSuccessRate","rtt","interarrivalJitter","fractionAvInterarrivalDelay","timeCurrentReceiverReport","timeCurrentTransportFeedback"
37,1.01,-0.281244,1,3.85003,3.48902,401,365,481700,438392,0,0,0,0.0214477,0.0219178,0.5,23.5641,3.35174,2.71569,1.00519,1.00519
37,2.01,0.801804,2,9.04866,8.50629,1296,1220,1606202,1511302,1,0,0.000819001,0.0515118,0.115574,0.687805,24.9717,1.73097,1.17602,2.00519,2.00519
37,3.01,0.83257,3,9.04866,7.71784,2196,2023,2737202,2521272,164,0,0.0749886,0.16721,0.155215,0.511401,29.3428,0.0897079,1.24035,3.00519,3.00519
37,4.01,0.874638,4,9.04866,8.68608,3096,2887,3868202,3607032,164,0,0.0537529,0,0.148944,0.502924,29.8025,0.0254398,1.11111,4.00519,4.00519
37,5.01,0.91079,5,9.04866,9.40992,3996,3823,4999202,4783272,164,0,0.0411337,0,0.133926,0.545261,31.2643,0.0917287,1.10951,5.00519,5.00519
37,6.01,0.922175,6,9.04866,9.048,4896,4723,6130202,5914272,164,0,0.0335584,0,0.112217,0.553814,29.9383,0.0437287,1.11278,6.00519,6.00519
37,7.01,0.926218,7,9.04866,9.048,5796,5623,7261202,7045272,164,0,0.0283394,0,0.0942557,0.553814,27.9983,0.0360585,1.11111,7.00519,7.00519
37,8.01,0.878668,8,9.04866,9.048,6696,6523,8392202,8176272,164,0,0.0245252,0,0.0867699,0.56999,27.7259,0.0361819,1.11111,8.00519,8.00519
37,9.01,0.914994,9,9.04866,9.048,7596,7423,9523202,9307272,164,0,0.0216159,0,0.0762495,0.56999,26.0174,0.0206244,1.10944,9.00519,9.00519
37,10.01,0.875009,10,9.04866,9.048,8496,8323,10654202,10438272,164,0,0.0193237,0,0.0680043,0.56999,24.545,0.0641243,1.11111,10.0052,10.0052
37,11.01,0.870419,11,9.04866,9.048,9396,9223,11785202,11569272,164,0,0.017471,0,0.0691749,0.593488,27.1348,0.140464,1.11111,11.0052,11.0052
37,12.01,0.890396,12,9.04866,9.04072,10296,10122,12916202,12699362,165,0,0.0160397,0.00111111,0.0715274,0.608915,28.3192,0.117268,1.11402,12.0052,12.0052
37,13.01,0.906241,13,9.04866,8.66528,11196,10984,14047202,13782522,203,0,0.0181461,0.0422222,0.0781136,0.602528,29.6006,0.0796047,1.16009,13.0052,13.0052
37,14.01,0.900549,14,9.04866,9.048,12096,11884,15178202,14913522,203,0,0.0167949,0,0.0815382,0.616805,32.1836,0.0995652,1.11111,14.0052,14.0052
37,15.01,0.911368,15,9.04866,8.48744,12996,12728,16309202,15974452,203,0,0.0156987,0.0128655,0.0881521,0.624027,33.8516,0.48498,1.15587,15.0052,15.0052
37,16.01,0.912467,16,9.04866,7.7532,13896,13508,17440202,16954912,306,0,0.0221514,0.13468,0.0850607,0.623102,35.714,0.114728,1.23647,16.0052,16.0052
37,17.01,0.895317,17,9.04866,9.59088,14796,14462,18571202,18153772,325,0,0.0219788,0,0.0813857,0.564238,34.957,0.0886931,1.10954,17.0052,17.0052
