"run","time","lastAction","duration","fractionTxRate","fractionRxGoodput","txPackets","rxPackets","txBytes","rxBytes","lostPackets","oooPackets","lossRate","fractionLossRate","retransmissionRate","nackSuccessRate","rtt","interarrivalJitter","fractionAvInterarrivalDelay","timeCurrentReceiverReport","timeCurrentTransportFeedback"
37,2.01194,420,2,0.4,0.3,201,175,100500,87500,17,0,0.0885417,0.25,0.114286,0.28169,25.107,8.38594,13.3334,2.00519,2.00519
37,3.01194,400,3,0.4,0.348,301,262,150500,131000,38,0,0.126667,0.13,0.0916031,0.218182,27.1649,2.35807,11.5115,3.00519,3.00519
37,4.01194,400,4,0.4,0.26,401,327,200500,163500,42,0,0.113821,0.322917,0.0856269,0.237288,31.1559,9.77411,15.3923,4.00519,4.00519
37,5.01194,400,5,0.4,0.408,501,429,250500,214500,71,0,0.142,0.0192308,0.0769231,0.180328,31.9167,1.63055,9.7843,5.00519,5.00519
37,6.01194,400,6,0.4,0.388,601,526,300500,263000,74,0,0.123333,0.03,0.0760456,0.207254,32.5204,2.49801,10.3247,6.00519,6.00519
37,7.01194,400,7,0.4,0.388,701,623,350500,311500,77,0,0.11,0.03,0.0850722,0.238739,36.4783,5.78051,10.3093,7.00519,7.00519
37,8.01194,400,8,0.4,0.4,801,723,400500,361500,77,0,0.09625,0,0.0857538,0.268398,37.8599,2.09987,10,8.00519,8.00519
37,9.01194,420,9,0.4,0.368,901,815,450500,407500,79,0,0.0883669,0.0212766,0.0846626,0.288703,38.6326,3.86234,10.2011,9.00519,9.00519
37,10.0119,420,10,0.4,0.38,1001,910,500500,455000,84,0,0.084507,0.0686275,0.0945055,0.302817,42.492,4.56702,10.7763,10.0052,10.0052
37,11.0119,420,11,0.4,0.388,1101,1009,550500,504500,84,0,0.0768527,0,0.0891972,0.314685,39.7346,0.849728,9.7601,11.0052,11.0052
37,12.0119,400,12,0.4,0.42,1201,1114,600500,557000,86,0,0.0716667,0.0186916,0.0960503,0.344051,40.9098,2.7847,10.1905,12.0052,12.0052
37,13.0119,400,13,0.4,0.392,1301,1212,650500,606000,88,0,0.0676923,0.02,0.0990099,0.363636,41.7002,1.41895,10.2041,13.0052,13.0052
37,14.0119,420,14,0.4,0.4,1401,1312,700500,656000,88,0,0.0628571,0,0.0914634,0.363636,38.2664,0.676584,10,14.0052,14.0052
37,15.0119,441,15,0.441,0.440392,1501,1412,755600,711049,88,0,0.0586667,0,0.0849858,0.363636,35.2986,0.715479,10,15.0052,15.0052
37,16.0119,463,16,0.441,0.392312,1601,1501,810700,760088,88,0,0.0553807,0.0326087,0.0819454,0.366071,35.6144,11.6523,10.7865,16.0052,16.0052
37,17.0119,463,17,0.441,0.476064,1701,1612,865800,821249,88,0,0.0517647,0,0.0800248,0.380531,34.5738,0.994284,9.36935,17.0052,17.0052
37,18.0119,463,18,0.441,0.365864,1801,1695,920900,866982,105,0,0.0583333,0.17,0.0843658,0.392857,39.1693,1.6603,12.0482,18.0052,18.0052
37,19.0119,425,19,0.441,0.4408,1901,1795,976000,922082,105,0,0.0552632,0,0.0807799,0.370844,36.7791,3.09707,10,19.0052,19.0052
37,20.0119,425,20,0.441,0.401128,2001,1886,1031100,972223,111,0,0.0555834,0.0618557,0.088017,0.388759,41.2742,6.66861,10.6758,20.0052,20.0052
37,21.0119,425,21,0.441,0.445208,2101,1987,1086200,1027874,113,0,0.0538095,0.0194175,0.0875692,0.395455,42.2342,4.96972,10.1832,21.0052,21.0052
37,22.0119,425,22,0.441,0.238032,2201,2041,1141300,1057628,132,0,0.0607455,0.419355,0.0970113,0.399194,53.2737,5.7306,18.5741,22.0052,22.0052
37,23.0119,400,23,0.441,0.423168,2301,2137,1196400,1110524,159,0,0.0692509,0.0769231,0.10248,0.376936,54.7758,10.3276,10.0886,23.0052,23.0052
37,24.0119,400,24,0.441,0.445208,2401,2238,1251500,1166175,160,0,0.0667223,0,0.105451,0.390728,53.0567,0.907609,9.98511,24.0052,24.0052
37,25.0119,420,25,0.441,0.436392,2501,2337,1306600,1220724,163,0,0.0652,0.0294118,0.100984,0.389439,50.4826,1.31902,10.303,25.0052,25.0052
37,26.0119,441,26,0.441,0.4408,2601,2437,1361700,1275824,163,0,0.0626923,0,0.0972507,0.388525,46.6934,0.717727,10.015,26.0052,26.0052
37,27.0119,463,27,0.441,0.4408,2701,2537,1416800,1330924,163,0,0.0603704,0,0.103272,0.4081,47.339,1.29845,9.985,27.0052,27.0052
37,28.0119,486,28,0.486,0.485152,2801,2637,1477500,1391568,163,0,0.0582143,0,0.0993553,0.4081,43.2223,0.830713,10,28.0052,28.0052
37,29.0119,510,29,0.486,0.480744,2901,2736,1538200,1451661,164,0,0.0565517,0.01,0.101608,0.414925,42.633,1.22868,10.1162,29.0052,29.0052
37,30.0119,536,30,0.536,0.535496,3001,2836,1605200,1518598,164,0,0.0546667,0,0.10402,0.423242,40.7736,2.46826,9.985,30.0052,30.0052
37,31.0119,536,31,0.536,0.46632,3101,2923,1672200,1576888,168,0,0.0543513,0.043956,0.108792,0.432653,44.7283,4.42162,10.4943,31.0052,31.0052
37,32.0119,536,32,0.536,0.5628,3201,3028,1739200,1647238,172,0,0.05375,0.0366972,0.111625,0.438392,44.5987,0.767128,10.3667,32.0052,32.0052
37,33.0119,536,33,0.536,0.536,3301,3128,1806200,1714238,172,0,0.0521212,0,0.108056,0.438392,40.8245,1.00555,10,33.0052,33.0052
37,34.0119,562,34,0.536,0.536,3401,3228,1873200,1781238,172,0,0.0505882,0,0.104709,0.438392,37.5033,1.24155,9.985,34.0052,34.0052
37,35.0119,590,35,0.59,0.589064,3501,3328,1946900,1854871,172,0,0.0491429,0,0.101562,0.438392,34.6161,1.00826,10,35.0052,35.0052
37,36.0119,620,36,0.59,0.5896,3601,3428,2020600,1928571,172,0,0.0477778,0,0.101517,0.444444,35.6561,4.1685,10,36.0052,36.0052
37,37.0119,620,37,0.59,0.5896,3701,3528,2094300,2002271,172,0,0.0464865,0,0.102891,0.452618,35.2604,0.996566,10,37.0052,37.0052
37,38.0119,651,38,0.651,0.649792,3801,3628,2175600,2083495,172,0,0.0452632,0,0.100606,0.45398,33.3459,4.78473,10,38.0052,38.0052
37,39.0119,684,39,0.651,0.6504,3901,3728,2256900,2164795,172,0,0.0441026,0,0.102468,0.461911,32.6794,0.953646,10.03,39.0052,39.0052
37,40.0119,718,40,0.718,0.716928,4001,3828,2346600,2254411,172,0,0.043,0,0.099791,0.461911,30.3653,0.741479,9.97,40.0052,40.0052
37,41.0119,754,41,0.718,0.7176,4101,3928,2436300,2344111,172,0,0.0419512,0,0.100051,0.468974,31.4617,1.69549,10,41.0052,41.0052
37,42.0119,791,42,0.791,0.789672,4201,4028,2535100,2442820,172,0,0.0409524,0,0.097567,0.468974,29.3524,0.768688,10.015,42.0052,42.0052
37,43.0119,831,43,0.791,0.648128,4301,4110,2633900,2523836,172,0,0.0401681,0.11828,0.0975669,0.463584,31.1999,5.36881,12.1159,43.0052,43.0052
37,44.0119,786,44,0.791,0.845728,4401,4219,2732700,2631528,181,0,0.0411364,0,0.0976535,0.469248,31.6437,5.7256,9.22016,44.0052,44.0052
37,45.0119,761,45,0.791,0.7904,4501,4319,2831500,2730328,181,0,0.0402222,0,0.0974763,0.474634,31.1106,0.835744,10.015,45.0052,45.0052
37,46.0119,799,46,0.791,0.7904,4601,4419,2930300,2829128,181,0,0.0393478,0,0.0986649,0.48337,32.5933,1.10991,10.015,46.0052,46.0052
37,47.0119,839,47,0.791,0.7904,4701,4519,3029100,2927928,181,0,0.0385106,0,0.0967028,0.483942,31.0531,4.99256,9.985,47.0052,47.0052
37,48.0119,881,48,0.881,0.81824,4801,4612,3139200,3030208,181,0,0.0377634,0.03125,0.0947528,0.48234,30.0808,7.22976,10.7527,48.0052,48.0052
37,49.0119,881,49,0.881,0.810336,4901,4707,3249300,3134803,193,0,0.0393878,0.115385,0.101126,0.482759,36.5536,3.10658,10.5105,49.0052,49.0052
37,50.0119,811,50,0.881,0.8808,5001,4807,3359400,3244903,193,0,0.0386,0,0.101519,0.488488,35.369,1.26437,10,50.0052,50.0052
37,51.0119,852,51,0.881,0.775104,5101,4895,3469500,3341791,193,0,0.0379324,0.0434783,0.100511,0.48858,34.6602,6.58933,11.1051,51.0052,51.0052
37,52.0119,852,52,0.881,0.546096,5201,4958,3579600,3411154,214,0,0.0413766,0.340426,0.103873,0.469891,41.8695,7.31934,14.9643,52.0052,52.0052
37,53.0119,533,53,0.533,0.074592,5301,4972,3646200,3420478,287,0,0.0545731,0.865385,0.105792,0.409657,59.7606,5.13703,77.3039,53.0052,53.0052
37,54.0119,400,54,0.4,0.350608,5401,5064,3696200,3469632,333,0,0.0617009,0.236364,0.115719,0.417379,67.8478,6.04745,10.8451,54.0052,54.0052
37,55.0119,400,55,0.4,0.2,5501,5115,3746200,3495132,335,0,0.0614679,0,0.114956,0.41791,62.29,1.44623,9.83324,55.0052,54.5052
37,56.0119,400,56,0.4,0.56,5601,5255,3796200,3565132,336,0,0.0600966,0.020979,0.123311,0.430279,61.3155,11.1242,10.5411,56.0052,56.0052
37,57.0119,420,57,0.4,0.404,5701,5357,3846200,3616132,343,0,0.0601754,0.0560748,0.127123,0.438224,63.2303,6.83029,10.0564,57.0052,57.0052
37,58.0119,420,58,0.4,0.3,5801,5432,3896200,3653632,364,0,0.0628019,0.226804,0.130339,0.433558,68.9328,10.2569,13.16,58.0052,58.0052
37,59.0119,400,59,0.4,0.256,5901,5497,3946200,3686132,367,0,0.0625853,0.0447761,0.132436,0.438554,70.0255,8.92825,11.6923,59.0052,58.8052
37,60.0119,400,60,0.4,0.528,6001,5629,3996200,3752132,371,0,0.0618333,0.0294118,0.144786,0.462543,70.5672,1.91077,9.48106,60.0052,60.0052
37,61.0119,400,61,0.4,0.24,6101,5689,4046200,3782132,382,0,0.0629221,0.220779,0.150114,0.459882,80.697,4.56032,14.3584,61.0052,60.9052
37,62.0119,400,62,0.4,0.244,6201,5750,4096200,3812632,429,0,0.0694287,0.455357,0.157217,0.441191,94.6028,0.604608,18.1479,62.0052,62.0052
37,63.0119,400,63,0.4,0.444,6301,5871,4146200,3873132,429,0,0.0680952,0,0.157895,0.449346,88.6142,1.31181,8.51217,63.0052,63.0052
37,64.0119,400,64,0.4,0.4,6401,5971,4196200,3923132,429,0,0.0670313,0,0.155418,0.449612,80.2054,0.939775,10.015,64.0052,64.0052
37,65.0119,420,65,0.4,0.388,6501,6068,4246200,3971632,429,0,0.0660305,0.0102041,0.152933,0.449395,72.5735,6.17168,10.2346,65.0052,65.0052
37,66.0119,441,66,0.441,0.448392,6601,6171,4301300,4028181,429,0,0.065,0,0.150705,0.450145,65.7343,0.674881,9.77911,66.0052,66.0052
37,67.0119,441,67,0.441,0.4408,6701,6271,4356400,4083281,429,0,0.0640299,0,0.148302,0.450145,59.3406,0.629749,9.985,67.0052,67.0052
37,68.0119,463,68,0.441,0.4408,6801,6371,4411500,4138381,429,0,0.0630882,0,0.145974,0.450145,53.6898,0.646059,10,68.0052,68.0052
37,69.0119,486,69,0.486,0.485152,6901,6471,4472200,4199025,429,0,0.0621739,0,0.143718,0.450145,48.758,1.16458,10,69.0052,69.0052
37,70.0119,510,70,0.486,0.4856,7001,6571,4532900,4259725,429,0,0.0612857,0,0.141531,0.450145,44.442,0.615932,10,70.0052,70.0052
